"PLAN","SPECIES","130K","131K","132K","133K","134K","135K","136K","137K","138K","139K","140K","141K","142K","143K","144K","145K","146K","147K","148K","149K","150K","151K","152K","153K","154K","155K","156K","157K","158K","159K","160K","161K","162K","163K","164K","165K","166K","167K"
"praiO","leslep",12,12,-2,-2,-2,-2,-2,-2,12,-2,-2,12,12,12,12,12,12,-2,-2,12,12,-2,12,-2,-2,-2,12,12,-2,-2,-2,-2,-2,-2,12,12,12,-2 
"flscR","liaohl",-2,12,-2,-2,-2,12,-2,-2,12,-2,-2,12,12,12,-2,-2,-2,-2,-2,10,-2,-2,-2,-2,-2,-2,12,10,-2,-2,-2,-2,-2,-2,-2,-2,12,-2 
"kaupO","lipfau",12,12,-2,-2,-2,-2,-2,-2,12,-2,-2,12,-2,-2,-2,12,-2,-2,12,-2,-2,8,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",12,12,-2,-2,-2,2,2,-2,12,-2,-2,12,12,2,-2,-2,-2,-2,-2,12,12,12,12,12,-2,-2,-2,-2,12,-2,12,12,-2,-2,12,12,2,-2 
"flscR","lupari",-2,12,-2,-2,-2,-2,-2,-2,12,-2,-2,12,12,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12 
"lotiO","lycarg",-2,12,12,-2,-2,-2,-2,-2,12,-2,12,12,12,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2 
"roleO","lysasp",-2,12,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,12,12,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,12,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,12,-2 
"apalO","macalb",2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-3,-2 
"mohrO","marmoh",-3,-3,-2,-2,-2,-2,-2,-2,-3,-2,-2,-3,-2,-3,-2,-3,-3,-2,-3,-2,-3,-3,-3,-3,-2,-3,-3,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","melpal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-3,-2,-2 
