"kauaO","hibwoo","kauaO","hibwoo","Temple99","Hibiscad","woodii","-2","-2","hau kuah",1,2,1996,11,12,0,-2,-2,-2,"5",0,0,0,14,1,0,-1,-1,-1,4,-1,-1,-1,2,0,0,"USFWS1",1,1,4,0,1,1 
"hawwR","himmex","hawwR","himmex","Merideth","Himantop","mexicanu","knudseni","-2","Hawaiian",2,2,1970,10,8,0,-2,-2,-2,"9",0,0,0,2,3,-1,3,-2,3,-2,19,2,-1,2,0,0,"USFWS1",2,3,1,1,0,0 
"flscO","hypcum","flscO","hypcum","Jurjavci","Hypericu","cumilico","-2","-1","Highland",1,2,1987,1,21,0,-2,-2,-2,"2",0,0,0,14,1,0,-1,1,-1,1,10,1,1,9,0,0,"USFWS4",-1,-1,2,1,1,0 
"smalR","isomed","smalR","isomed","Rieder16","Isotria","meleoloi","-2","(Pursh)R","Small Wh",1,2,1982,10,12,0,-2,-2,-2,"-3",0,0,0,14,1,0,-1,3,-1,3,8,2,2,8,1,1,"USFWS5",2,2,-3,0,1,1 
"beacO","jacrec","beacO","jacrec","Peacock6","Jacquemo","reclinat","-2","-1","beach ja",1,2,1993,11,24,0,-2,-2,-2,"-1",0,0,0,14,1,0,3,-1,3,1,11,1,1,9,0,0,"USFWS4",1,1,-1,1,1,1 
"oahpO","labcyr","oahpO","labcyr","Fagan97","labordia","cyrtandr","-2","(Baillon","kamakaha",1,2,1996,10,10,0,-2,-2,-2,"5",0,0,0,14,1,0,3,2,3,3,1,1,3,2,0,0,"USFWS1",2,2,-1,0,0,1 
"pinkO","lamabr","pinkO","lamabr","Aguiar67","Lampsili","orbicula","-2","Say 1831","pink muc",1,2,1976,6,14,0,-2,-2,-2,"-1",0,0,0,8,4,-1,4,1,4,2,21,2,-2,24,0,1,"USFWS4",-1,2,-1,1,1,0 
"snakO","lanxsp","snakO","lanxsp","Damiani1","Lanx","-2","-2","Frest","Banbury",1,2,1992,12,14,0,-2,-2,-2,"8",0,0,1,8,2,-1,-1,-1,2,3,21,1,-1,5,0,0,"USFWS1",2,2,-1,1,1,0 
"caroO","lasdec","caroO","lasdec","Coshland","Lasmigon","decorata","-2","Lea","Carolina",1,2,1993,6,30,0,-2,-2,-2,"-1",0,0,1,8,-1,0,-1,-1,-1,-1,21,1,-2,9,0,1,"USFWS4",1,1,-2,1,0,0 
"praiO","leslep","praiO","leslep","Auckland","Lespedez","leptosta","-2","-1","Prairie",1,1,1987,1,9,0,-2,-2,-2,"-3",0,0,0,14,1,0,5,1,5,2,16,1,1,6,0,1,"USFWS3",1,1,-3,1,1,0 
"flscR","liaohl","flscR","liaohl","Kellogg1","Liatris","ohlinger","-2","-1","scrub bl",1,2,1989,7,27,0,-2,-2,-2,"2",0,0,0,14,1,0,3,-1,3,2,13,1,-1,9,0,0,"USFWS4",1,-1,3,1,1,1 
"kaupO","lipfau","kaupO","lipfau","Schwartz","Lipochae","fauriei","-2","Leveille","nehe",1,2,1994,2,25,-2,-2,-2,-2,"2",0,0,0,14,1,0,3,3,3,3,-2,1,3,2,0,0,"USFWS1",1,1,4,1,1,-2 
"oahpO","loboah","oahpO","loboah","mojonnie","Lobelia","oahuensi","-2","rock 191","-2",1,2,1994,4,27,0,-2,-2,-2,"5",0,0,0,14,1,0,2,1,2,1,27,1,-1,2,0,0,"USFWS1",-1,-1,4,1,1,1 
"flscR","lupari","flscR","lupari","hudgens1","Lupinus","aridorum","-2","-1","scrub lu",1,2,1987,4,7,-2,-2,-2,-2,"-3",0,0,0,14,1,-2,-1,-1,3,3,27,1,1,9,0,0,"USFWS4",1,2,-3,1,1,-2 
"lotiO","lycarg","lotiO","lycarg","brunner1","Lycaeide","argyrogn","ssp. lot","Lintner","Lotis bl",2,2,1976,6,1,0,-2,-2,-2,"3",0,0,0,6,2,-1,2,1,1,-2,19,-1,2,4,0,0,"USFWS1",1,1,-1,1,1,0 
"roleO","lysasp","roleO","lysasp","Jones64","Lysimach","asperula","-2","Poiret","Rough-le",1,2,1987,7,13,0,-2,-2,-2,"-3",0,0,0,14,1,0,5,2,5,2,19,1,1,9,0,1,"USFWS4",3,3,-3,1,1,0 
"apalO","macalb","apalO","macalb","Sullivan","Macbride","alba","-2","-1","white bi",1,1,1992,5,8,0,-2,-2,-2,"-1",0,0,0,14,1,0,-1,-1,-1,2,7,1,1,9,0,0,"USFWS4",3,3,-3,1,1,1 
"mohrO","marmoh","mohrO","marmoh","Nevin195","Marshall","mohrii","-2","-2","Mohr's B",1,1,1988,9,7,0,-2,-2,-2,"-2",0,0,0,14,1,0,-1,2,-1,2,8,1,1,9,0,1,"USFWS4",1,3,-3,1,1,1 
"kaupO","melpal","kaupO","melpal","hilderbr","Melicope","pallida","-2","Hartley","alani",1,2,1994,2,25,0,-2,-2,-2,"-3",0,0,0,14,1,0,-1,2,-1,2,2,1,3,2,0,0,"USFWS1",-1,-1,-3,0,1,0 
"oahpO","melsai","oahpO","melsai","murphy21","Melicope","saint-jo","-2","Hume(Hil","Alani",1,2,1996,11,12,0,-2,-2,-2,"8",0,0,0,14,1,0,3,2,2,2,2,2,3,2,0,0,"USFWS1",2,2,-2,1,1,1 
"armaO","miccal","armaO","miccal","Hosseini","Microtus","californ","scirpens","Kellogg","Armagosa",2,2,1984,11,15,1,1984,11,15,"-1",0,0,0,1,2,4,-1,-2,2,4,21,1,-1,4,0,0,"USFWS1",2,3,-1,1,1,0 
"hualO","micmex","hualO","micmex","Hatch25","Microtus","mexicanu","hualpaie","Goldman","Hualapai",2,2,1987,10,1,0,-2,-2,-2,"-1",0,0,0,1,2,-1,-1,-1,-1,1,9,1,-1,4,0,0,"USFWS2",3,3,-1,1,1,0 
