"PLAN","SPECIES","308KK","309KK","310KK","311KK","312KK","313KK","314KK","315KK","316KK","317KK","318KK","319KK","320KK","321KK","322KK","323KK","324KK","325KK","326KK","327KK","328KK","329KK","330KK","331KK","332KK","333KK","334KK","335KK","336KK","337KK","338KK","339KK","340KK","341KK","342KK","343KK"
"apalO","macalb",-2,-3,-2,-2,-3,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1 
"mohrO","marmoh",-2,-2,-2,-2,-3,-2,-2,-2,-2,-3,-2,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2,-2 
"kaupO","melpal",-2,-3,-2,-2,-3,-2,0,0,0,0,1,1,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","melsai",-2,0,0,0,0,-1,1,-2,1,1,-2,1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"armaO","miccal",-2,0,-2,0,-2,-2,-2,-2,1,0,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hualO","micmex",-2,0,0,-2,0,-2,-2,-2,1,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,0,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"blacR","musnig",-3,-3,-2,-3,-3,-2,-2,-3,-2,-2,-2,-3,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaufO","myapal",-2,2,-2,-2,2,-2,1,1,1,-2,1,2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"indiR","myosod",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","nothum",-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
